datetime,path,referrer,referrer_path,country,country_name,device,browser,os,event_type
2026-04-04T10:20:00Z,/en/contact/,www.3dbear.io,/en/immersive-spaces/,SE,Sweden,mobile,ChromeMobile,iOS,pageview
2026-04-04T12:45:00Z,/asiakastarinat/taitotalo/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T06:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T09:35:00Z,/asiakastarinat/tanzania/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T05:00:00Z,/simuna/lahihoitaja/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T11:00:00Z,/blog/impact-of-ai/,www.google.com,/,PK,Pakistan,desktop,Edge,Windows,visit
2026-04-05T02:25:00Z,/en/tapahtumat/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T02:35:00Z,/asiakastarinat/asiakastyon-harjoittelu/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T21:05:00Z,/en/asiakastarinat/engs/,(direct),,NL,Netherlands,mobile,ChromeMobile,Android,visit
2026-04-04T12:25:00Z,/en/tags/team/,(direct),,PL,Poland,mobile,ChromeMobile,iOS,visit
2026-04-04T14:10:00Z,/blog/impact-of-ai/,(direct),,PH,Philippines,mobile,MobileSafari,iOS,visit
2026-04-04T09:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Edge,Windows,visit
2026-04-04T17:40:00Z,/blog/tatja-kekarainen/,(direct),,DE,Germany,mobile,ChromeMobile,iOS,visit
2026-04-04T08:40:00Z,/asiakastarinat/hygge-koulu/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T03:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Safari,MacOSX,visit
2026-04-05T01:55:00Z,/blog/impact-of-ai/,www.google.com,/,US,United States,desktop,Chrome,MacOSX,visit
2026-04-04T06:35:00Z,/asiakastarinat/virtuaalinen-metsanhoito/,(direct),,US,United States,mobile,ChromeMobile,Android,visit
2026-04-04T22:45:00Z,/simuna/lahihoitaja/asiakkaan-kohtaaminen-ja-ohjaaminen/,(direct),,NL,Netherlands,mobile,ChromeMobile,iOS,visit
2026-04-04T05:05:00Z,/asiakastarinat/sakky/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T19:45:00Z,/blog/impact-of-ai/,www.google.com,/,US,United States,desktop,Chrome,Windows,visit
2026-04-04T22:45:00Z,/en/asiakastarinat/ufo-hanke/,(direct),,JP,Japan,mobile,ChromeMobile,iOS,visit
2026-04-04T12:30:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T05:50:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Chrome,Linux,visit
2026-04-05T04:15:00Z,/,(direct),,IE,Ireland,desktop,Unknown,Unknown,visit
2026-04-04T18:05:00Z,/blog/impact-of-ai/,www.google.com,/,UZ,Uzbekistan,mobile,ChromeMobile,Android,visit
2026-04-05T04:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T18:10:00Z,/,(direct),,CN,China,desktop,Unknown,Unknown,visit
2026-04-05T03:35:00Z,/en/asiakastarinat/ostfold/,(direct),,SE,Sweden,mobile,ChromeMobile,Android,visit
2026-04-04T10:30:00Z,/en/contact/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T06:00:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Chrome,Windows,visit
2026-04-04T18:50:00Z,/blog/impact-of-ai/,www.google.com,/,MY,Malaysia,desktop,Chrome,Windows,visit
2026-04-04T22:35:00Z,/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T00:55:00Z,/blog/impact-of-ai/,www.google.com,/,US,United States,mobile,ChromeMobile,iOS,visit
2026-04-04T08:25:00Z,/en/simuna/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T05:30:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Chrome,Windows,visit
2026-04-04T23:40:00Z,/asiakastarinat/luksia-fysiikka/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T05:15:00Z,/tags/tutkimus/,(direct),,SG,Singapore,mobile,ChromeMobile,Android,visit
